num_units1,num_units2,optimizer,Accuracy
512.0,256.0,adam,0.756596028804779
256.0,256.0,sgd,0.7481390237808228
512.0,512.0,RMSprop,0.7734660506248474
512.0,256.0,RMSprop,0.7725850939750671
256.0,512.0,sgd,0.7481390237808228
128.0,256.0,RMSprop,0.7624102830886841
512.0,512.0,sgd,0.7481390237808228
128.0,512.0,adam,0.7737743854522705
512.0,256.0,sgd,0.7481390237808228
512.0,512.0,adam,0.7758886218070984
128.0,512.0,sgd,0.7481390237808228
256.0,256.0,adam,0.7711315751075745
128.0,256.0,sgd,0.7481390237808228
128.0,512.0,RMSprop,0.7626745104789734
128.0,256.0,adam,0.7758886218070984
256.0,512.0,RMSprop,0.7710875272750854
256.0,256.0,RMSprop,0.7481830716133118
256.0,512.0,adam,0.7727172374725342
